kind,n,seed,alpha,k,third,value,gap_vs_unrestricted_pct,generated_ops,reached_or_expanded_states,time_first,time_second,time_third,time_total
uniform,8,0,2,1,dp,213.913556714,0,1464,576,2.064e-05,0.000167747,0.000340311,0.000532218
uniform,8,0,2,2,dp,213.913556714,0,2864,576,7.4376e-05,0.000429512,0.000496907,0.001004469
uniform,8,0,2,inf,dp,213.913556714,0,4608,576,0.000556293,0.001195406,0.001774766,0.003531383
uniform,8,0,2,0,astar,216.776810058,1.33850953071,456,527,4.39e-06,3.8833e-05,0.000981828,0.001031571
uniform,8,0,2,1,astar,213.913556714,0,1464,534,1.8896e-05,0.000148977,0.000918723,0.001092629
uniform,8,0,2,2,astar,213.913556714,0,2864,534,0.000402404,0.000365459,0.001430236,0.002206482
uniform,8,0,2,inf,astar,213.913556714,0,4608,534,0.000688479,0.00108769,0.003037526,0.004822241
uniform,8,1,2,0,dp,257.504393792,9.46851983013,456,576,5.271e-06,3.8896e-05,0.000182186,0.000230997
uniform,8,1,2,1,dp,235.23145667,0,1464,576,1.9305e-05,0.000173315,0.000405754,0.000602507
uniform,8,1,2,2,dp,235.23145667,0,2864,576,7.4659e-05,0.000356041,0.000512419,0.000948253
uniform,8,1,2,inf,dp,235.23145667,0,4608,576,0.000440846,0.000989644,0.00079561,0.002231932
uniform,8,1,2,0,astar,257.504393792,9.46851983013,456,559,5.91e-06,0.000152871,0.000578699,0.000744581
uniform,8,1,2,1,astar,235.23145667,0,1464,550,1.943e-05,0.000144172,0.001323939,0.001492366
uniform,8,1,2,2,astar,235.23145667,0,2864,550,7.7374e-05,0.000403308,0.001088046,0.001574962
uniform,8,1,2,inf,astar,235.23145667,0,4608,550,0.000573617,0.000942256,0.001310173,0.002831662
uniform,8,2,2,0,dp,224.707151301,8.0892241985,456,576,5.216e-06,4.2917e-05,0.000180518,0.000233248
uniform,8,2,2,1,dp,207.890428456,0,1464,576,1.8918e-05,0.000145557,0.00145716,0.001624844
uniform,8,2,2,2,dp,207.890428456,0,2864,576,0.000423798,0.003183979,0.000497219,0.004160515
uniform,8,2,2,inf,dp,207.890428456,0,4608,576,0.000473022,0.000923074,0.000646679,0.002048577
uniform,8,2,2,0,astar,224.707151301,8.0892241985,456,559,4.888e-06,4.0909e-05,0.000593867,0.000644595
uniform,8,2,2,1,astar,207.890428456,0,1464,528,1.7396e-05,0.000147874,0.001113248,0.001284613
uniform,8,2,2,2,astar,207.890428456,0,2864,528,0.000101595,0.000357279,0.001163485,0.001630317
uniform,8,2,2,inf,astar,207.890428456,0,4608,528,0.000502716,0.000952353,0.001287604,0.002749638
uniform,8,3,2,0,dp,140.705068542,12.7882936344,456,576,4.831e-06,0.000210481,0.000176473,0.000395823
uniform,8,3,2,1,dp,124.75148263,0,1464,576,1.8259e-05,0.000139944,0.000442281,0.000603948
uniform,8,3,2,2,dp,124.75148263,0,2864,576,7.5506e-05,0.000351144,0.000495893,0.000929211
uniform,8,3,2,inf,dp,124.75148263,0,4608,576,0.000431427,0.000900752,0.000667187,0.002003769
uniform,8,3,2,0,astar,140.705068542,12.7882936344,456,512,4.542e-06,3.9114e-05,0.000589231,0.000637714
uniform,8,3,2,1,astar,124.75148263,0,1464,443,1.8847e-05,0.000145541,0.001170675,0.001343073
uniform,8,3,2,2,astar,124.75148263,0,2864,445,7.5337e-05,0.004948776,0.001060682,0.006092403
uniform,8,3,2,inf,astar,124.75148263,0,4608,445,0.000549485,0.001011259,0.001191252,0.002758719
uniform,8,4,2,0,dp,232.388315443,9.35113774825,456,576,5.35e-06,4.0141e-05,0.000203625,0.000253822
uniform,8,4,2,1,dp,214.361328507,0.868475752589,1464,576,1.9525e-05,0.000143957,0.000345381,0.000512665
uniform,8,4,2,2,dp,212.515681344,0,2864,576,7.4102e-05,0.000371939,0.000501357,0.000950487
uniform,8,4,2,inf,dp,212.515681344,0,4608,576,0.000483686,0.000980045,0.00127382,0.002742536
uniform,8,4,2,0,astar,232.388315443,9.35113774825,456,548,7.5675e-05,4.0521e-05,0.000721982,0.00084613
uniform,8,4,2,1,astar,214.361328507,0.868475752589,1464,523,0.000102758,0.000150455,0.001035621,0.001296387
uniform,8,4,2,2,astar,212.515681344,0,2864,519,7.5451e-05,0.000351204,0.00691898,0.007352868
uniform,8,4,2,inf,astar,212.515681344,0,4608,519,0.000459976,0.000958877,0.001430092,0.002858556
uniform,9,0,2,0,dp,220.037824194,1.62181023951,657,1280,5.43e-06,5.4936e-05,0.000486063,0.000555415
uniform,9,0,2,1,dp,216.804248206,0.128422242937,2421,1280,2.712e-05,0.000241775,0.003527377,0.00380237
