source_file,kind,n,k,third,alpha,value_mean,gap_mean,generated_ops_mean,states_mean,time_total_mean,time_first_mean,time_second_mean,time_third_mean
scale_k2_astar.csv,uniform,13,2,astar,2,233.10704022,,40079.0,25546.0,0.282967287,0.00052564,0.005706435,0.276585062
scale_k2_astar.csv,uniform,14,2,astar,2,235.483015619,,59710.0,54163.0,0.755689126,0.000449455,0.005119597,0.74988571
scale_k2_astar.csv,uniform,15,2,astar,2,237.055679294,,86430.0,115862.0,1.868508588,0.001814225,0.007648578,1.857568321
scale_k2_astar.csv,uniform,16,2,astar,2,241.200510134,,122016.0,248018.0,5.228437478,0.001066979,0.011121978,5.214439193
week2_correctness.csv,uniform,6,0,astar,2,195.557649503,5.7922322416028,186.0,102.8,0.000108504,1.3915600000000001e-05,1.6445200000000003e-05,7.59536e-05
week2_correctness.csv,uniform,6,0,dp,2,195.557649503,5.7922322416028,186.0,112.0,8.184500000000001e-05,1.2842e-05,3.86954e-05,2.67324e-05
week2_correctness.csv,uniform,6,1,astar,2,185.6205025332,0.28521934453000003,426.0,99.4,0.0017961696,8.3674e-06,5.274e-05,0.0017332545999999998
week2_correctness.csv,uniform,6,1,dp,2,185.6205025332,0.28521934453000003,426.0,112.0,0.0001005848,9.496999999999999e-06,5.2435199999999996e-05,3.7342199999999996e-05
week2_correctness.csv,uniform,6,2,astar,2,184.983002259,0.0,606.0,99.4,0.00020843020000000002,3.0579399999999994e-05,7.47806e-05,0.00010103799999999999
week2_correctness.csv,uniform,6,2,dp,2,184.983002259,0.0,606.0,112.0,0.0001593184,3.08348e-05,8.514739999999999e-05,4.1967e-05
week2_correctness.csv,uniform,6,inf,astar,2,184.983002259,0.0,672.0,99.4,0.00026812399999999996,6.90284e-05,0.0001032446,9.38538e-05
week2_correctness.csv,uniform,6,inf,dp,2,184.983002259,0.0,672.0,112.0,0.0002168982,6.831599999999999e-05,0.0001056092,4.13746e-05
week2_correctness.csv,uniform,7,0,astar,2,209.7451945078,8.97715769844,301.0,237.4,0.0002941598,3.9416000000000005e-06,2.79296e-05,0.00025815960000000003
week2_correctness.csv,uniform,7,0,dp,2,209.7451945078,8.97715769844,301.0,256.0,0.0001104968,6.7062e-06,2.81432e-05,7.167020000000001e-05
week2_correctness.csv,uniform,7,1,astar,2,194.5394242786,1.046943196288,826.0,225.6,0.0004169162,1.4831800000000001e-05,8.812180000000001e-05,0.000310995
week2_correctness.csv,uniform,7,1,dp,2,194.5394242786,1.046943196288,826.0,256.0,0.00023679299999999998,1.4595400000000001e-05,9.88074e-05,0.00012154100000000001
week2_correctness.csv,uniform,7,2,astar,2,192.8382943452,0.285914344436,1386.0,225.2,0.000653942,8.79772e-05,0.00019529199999999999,0.00036686419999999996
week2_correctness.csv,uniform,7,2,dp,2,192.8382943452,0.285914344436,1386.0,256.0,0.00045359459999999997,5.69512e-05,0.0002474612,0.000146758
week2_correctness.csv,uniform,7,inf,astar,2,192.19918920679999,0.0,1792.0,225.0,0.0016837208,0.00032696959999999997,0.0009473330000000001,0.0004041862
week2_correctness.csv,uniform,7,inf,dp,2,192.19918920679999,0.0,1792.0,256.0,0.0007098562,0.0001931482,0.0003315812,0.00018139
week2_correctness.csv,uniform,8,0,astar,2,214.4163478272,8.207136988398,456.0,541.0,0.0007809182,1.9081e-05,6.24496e-05,0.0006931214
week2_correctness.csv,uniform,8,0,dp,2,214.4163478272,8.207136988398,456.0,576.0,0.000272882,4.9496e-06,7.93674e-05,0.00018373600000000002
week2_correctness.csv,uniform,8,1,astar,2,199.2296505954,0.1736951505178,1464.0,515.6,0.0013018136,3.54654e-05,0.0001474038,0.0011124412
week2_correctness.csv,uniform,8,1,dp,2,199.2296505954,0.1736951505178,1464.0,576.0,0.0007752363999999999,1.9329399999999998e-05,0.00015410400000000001,0.0005981774
week2_correctness.csv,uniform,8,2,astar,2,198.8605211628,0.0,2864.0,515.2,0.0037714064,0.00014643219999999998,0.0012852052,0.0023322858
week2_correctness.csv,uniform,8,2,dp,2,198.8605211628,0.0,2864.0,576.0,0.0015985869999999998,0.0001444882,0.0009385229999999999,0.000500759
week2_correctness.csv,uniform,8,inf,astar,2,198.8605211628,0.0,4608.0,515.2,0.0032041632,0.0005548546,0.000990487,0.0016513294000000001
week2_correctness.csv,uniform,8,inf,dp,2,198.8605211628,0.0,4608.0,576.0,0.0025116394,0.00047705480000000003,0.0009977842000000001,0.0010316124
week2_correctness.csv,uniform,9,0,astar,2,221.523646646,7.102612425496,657.0,1195.8,0.0020237116,5.5531999999999996e-05,4.3532800000000004e-05,0.0019188383999999999
week2_correctness.csv,uniform,9,0,dp,2,221.523646646,7.102612425496,657.0,1280.0,0.00045012359999999996,4.2996e-06,4.3750799999999995e-05,0.00039701060000000004
week2_correctness.csv,uniform,9,1,astar,2,208.5746106692,0.49087960901135996,2421.0,1149.8,0.0022191144000000005,2.01008e-05,0.000205632,0.0019889834
week2_correctness.csv,uniform,9,1,dp,2,208.5746106692,0.49087960901135996,2421.0,1280.0,0.0015036982,2.04576e-05,0.00023143,0.001247682
week2_correctness.csv,uniform,9,2,astar,2,207.4357868936,0.0069578478419600005,5445.0,1147.4,0.0076357482,8.77432e-05,0.0010908274,0.0064516562
week2_correctness.csv,uniform,9,2,dp,2,207.4357868936,0.0069578478419600005,5445.0,1280.0,0.0051466252,0.00019945039999999997,0.0028870544,0.0020551416
week2_correctness.csv,uniform,9,inf,astar,2,207.4251550988,0.0,11520.0,1147.0,0.0073149004,0.0011504616,0.0021661092,0.003992014800000001
week2_correctness.csv,uniform,9,inf,dp,2,207.4251550988,0.0,11520.0,1280.0,0.0102391456,0.001973458,0.0016882611999999998,0.0065714114
week2_correctness.csv,uniform,10,0,astar,2,235.6098908252,8.868325332418,910.0,2668.4,0.003596796,0.0002063412,5.3224000000000004e-05,0.0033226814
week2_correctness.csv,uniform,10,0,dp,2,235.6098908252,8.868325332418,910.0,2816.0,0.0015223538,5.9178e-06,0.00011087319999999998,0.0013995562
week2_correctness.csv,uniform,10,1,astar,2,220.70143389139997,1.9098716588400027,3790.0,2580.0,0.0065871342,3.41382e-05,0.0003650924,0.0061819983999999994
week2_correctness.csv,uniform,10,1,dp,2,220.70143389139997,1.9098716588400027,3790.0,2816.0,0.0027758932,0.0001123474,0.000296823,0.0023616732
week2_correctness.csv,uniform,10,2,astar,2,216.750303368,0.0,9670.0,2540.0,0.011510211,0.00013044020000000002,0.0008178506,0.0105479188
week2_correctness.csv,uniform,10,2,dp,2,216.750303368,0.0,9670.0,2816.0,0.0053696944,0.0001218762,0.0008038372,0.0044384482
week2_correctness.csv,uniform,10,inf,astar,2,216.750303368,0.0,28160.0,2541.0,0.026664979999999998,0.0027358092,0.007679582,0.0162417532
week2_correctness.csv,uniform,10,inf,dp,2,216.750303368,0.0,28160.0,2816.0,0.0181614858,0.0034179676,0.0048415559999999995,0.009894745
week3_kind_compare.csv,1-center,8,0,dp,2,169.34302828033333,1.4462642010403333,456.0,576.0,0.00015481233333333331,2.7229999999999996e-06,2.695133333333333e-05,0.000122481
week3_kind_compare.csv,1-center,8,1,dp,2,167.03895384333336,0.0,1464.0,576.0,0.00036386499999999995,1.2405e-05,0.00010590866666666667,0.000243905
week3_kind_compare.csv,1-center,8,2,dp,2,167.03895384333336,0.0,2864.0,576.0,0.000659449,5.439733333333333e-05,0.00026818733333333335,0.000334691
week3_kind_compare.csv,1-center,8,inf,dp,2,167.03895384333336,0.0,4608.0,576.0,0.0012784183333333333,0.0003294543333333333,0.000509186,0.00043799899999999995
week3_kind_compare.csv,1-center,9,0,dp,2,177.34071240466665,2.25113045364,657.0,1280.0,0.0003605066666666666,2.824e-06,3.7698e-05,0.00031729466666666667
week3_kind_compare.csv,1-center,9,1,dp,2,173.65968606566665,0.0,2421.0,1280.0,0.0008730426666666667,1.6723e-05,0.0001873156666666667,0.0006666426666666667
week3_kind_compare.csv,1-center,9,2,dp,2,173.65968606566665,0.0,5445.0,1280.0,0.003458880666666667,8.6081e-05,0.0004986206666666666,0.002871143
week3_kind_compare.csv,1-center,9,inf,dp,2,173.65968606566665,0.0,11520.0,1280.0,0.004040998333333333,0.000988941,0.00111183,0.001935715
week3_kind_compare.csv,1-center,10,0,dp,2,179.434931658,1.695907968529,910.0,2816.0,0.000853052,4.336666666666666e-06,5.144066666666667e-05,0.000792943
week3_kind_compare.csv,1-center,10,1,dp,2,176.36048160566668,0.0,3790.0,2816.0,0.0021561503333333335,2.2474000000000002e-05,0.00026518633333333337,0.0018653806666666668
week3_kind_compare.csv,1-center,10,2,dp,2,176.36048160566668,0.0,9670.0,2816.0,0.004991992666666666,0.00010532599999999999,0.001032325,0.003850494333333333
week3_kind_compare.csv,1-center,10,inf,dp,2,176.36048160566668,0.0,28160.0,2816.0,0.014711312999999998,0.0022508619999999997,0.0036369636666666663,0.008817242333333334
week3_kind_compare.csv,1-center,11,0,dp,2,184.15676123433332,2.8873630527166667,1221.0,6144.0,0.0020095333333333336,5.861e-06,7.054166666666667e-05,0.0019273566666666664
