kind,n,seed,alpha,k,third,value,gap_vs_unrestricted_pct,generated_ops,reached_or_expanded_states,time_first,time_second,time_third,time_total
2-center,9,1,2,inf,dp,180.001565799,0,11520,1280,0.00094209,0.001032406,0.001897452,0.003875208
2-center,9,2,2,0,dp,218.250504846,1.62632019521,657,1280,2.937e-06,3.7677e-05,0.000321321,0.000364762
2-center,9,2,2,1,dp,214.757854487,0,2421,1280,1.7471e-05,0.000167644,0.000825657,0.001013189
2-center,9,2,2,2,dp,214.757854487,0,5445,1280,8.1746e-05,0.00048909,0.001242106,0.001816687
2-center,9,2,2,inf,dp,214.757854487,0,11520,1280,0.000915835,0.001128766,0.001901547,0.003949586
2-center,10,0,2,0,dp,211.526512138,0,910,2816,3.634e-06,4.8392e-05,0.000809103,0.000865388
2-center,10,0,2,1,dp,211.526512138,0,3790,2816,2.2055e-05,0.000258503,0.003461486,0.003746271
2-center,10,0,2,2,dp,211.526512138,0,9670,2816,0.000103495,0.00076386,0.003887619,0.004759078
2-center,10,0,2,inf,dp,211.526512138,0,28160,2816,0.002415356,0.002992577,0.009785008,0.015197882
2-center,10,1,2,0,dp,185.765819143,3.05689956375,910,2816,4.274e-06,4.9532e-05,0.002289419,0.002347516
2-center,10,1,2,1,dp,181.981982984,0.957749005374,3790,2816,2.44e-05,0.000276816,0.001892306,0.00219898
2-center,10,1,2,2,dp,180.255586893,0,9670,2816,0.000102543,0.000730018,0.003716981,0.004553211
2-center,10,1,2,inf,dp,180.255586893,0,28160,2816,0.002199372,0.002831608,0.011615706,0.016651175
2-center,10,2,2,0,dp,217.431976076,1.43789577418,910,2816,4.2e-06,5.1294e-05,0.000826618,0.000886777
2-center,10,2,2,1,dp,214.34984866,0,3790,2816,2.3384e-05,0.000294653,0.001870532,0.002191743
2-center,10,2,2,2,dp,214.34984866,0,9670,2816,0.000103353,0.000764251,0.006054924,0.006926446
2-center,10,2,2,inf,dp,214.34984866,0,28160,2816,0.002219571,0.003943233,0.010716955,0.016886538
2-center,11,0,2,0,dp,223.93140519,1.14380646236,1221,6144,5.09e-06,6.363e-05,0.002156188,0.002230147
2-center,11,0,2,1,dp,221.399028791,0,5676,6144,3.1857e-05,0.000412014,0.005314267,0.00576314
2-center,11,0,2,2,dp,221.399028791,0,16236,6144,0.000147795,0.001212667,0.013293979,0.014658538
2-center,11,0,2,inf,dp,221.399028791,0,67584,6144,0.005608703,0.012203798,0.042633509,0.060453374
2-center,11,1,2,0,dp,198.055008779,2.92993830819,1221,6144,6.496e-06,6.5234e-05,0.001950105,0.002026969
2-center,11,1,2,1,dp,195.110249414,1.39953571095,5676,6144,3.0787e-05,0.000394245,0.00527169,0.005700249
2-center,11,1,2,2,dp,192.417300578,0,16236,6144,0.000159724,0.001167249,0.015419608,0.016750326
2-center,11,1,2,inf,dp,192.417300578,0,67584,6144,0.011033487,0.007530869,0.044217758,0.062789318
